# Symbol baseline: rust/crates/openpage/src/webpage/mod.rs
# Generated: 2026-07-22
# Format: line | kind | owner | visibility | role | normalized signature
# Count: 1014
44 | item | - | pub | code | pub enum WebMode
50 | method | impl WebMode | pub | code | pub fn as_str(self) -> &'static str
57 | method | impl WebMode | pub | code | pub fn parse(mode: &str) -> OpenPageResult<Self>
67 | method | impl WebMode | pub | code | pub fn toggled(self) -> Self
76 | item | - | pub | code | pub enum WebElement
85 | item | - | pub | code | pub enum WebElementDragTarget<'a>
93 | method | impl<'a> From<&'a WebElement> for WebElementDragTarget<'a> | private | code | fn from(value: &'a WebElement) -> Self
99 | method | impl From<WebElement> for WebElementDragTarget<'_> | private | code | fn from(value: WebElement) -> Self
105 | method | impl<'a> From<&'a str> for WebElementDragTarget<'a> | private | code | fn from(value: &'a str) -> Self
111 | method | impl<'a> From<&'a String> for WebElementDragTarget<'a> | private | code | fn from(value: &'a String) -> Self
117 | method | impl<'a> From<(&'a str, &'a str)> for WebElementDragTarget<'a> | private | code | fn from(value: (&'a str, &'a str)) -> Self
123 | method | impl From<(i32, i32)> for WebElementDragTarget<'_> | private | code | fn from(value: (i32, i32)) -> Self
129 | method | impl From<(u32, u32)> for WebElementDragTarget<'_> | private | code | fn from(value: (u32, u32)) -> Self
135 | method | impl From<(usize, usize)> for WebElementDragTarget<'_> | private | code | fn from(value: (usize, usize)) -> Self
141 | method | impl From<(f64, f64)> for WebElementDragTarget<'_> | private | code | fn from(value: (f64, f64)) -> Self
147 | item | - | pub | code | pub enum WebFrame
153 | item | - | pub | code | pub enum DisconnectedWebFrame
161 | item | - | pub | code | pub struct WebElementScroller<'a>
165 | item | - | pub | code | pub struct WebElementClicker<'a>
169 | item | - | pub | code | pub struct WebElementSetter<'a>
173 | item | - | pub | code | pub struct WebElementSelector<'a>
177 | item | - | pub | code | pub struct WebElementStates<'a>
181 | item | - | pub | code | pub struct WebElementRect<'a>
185 | item | - | pub | code | pub struct WebElementWait<'a>
189 | item | - | pub | code | pub struct WebPageScroller<'a>
193 | item | - | pub | code | pub struct WebPageSetter<'a>
197 | item | - | pub | code | pub struct WebPageCookieSetter<'a>
201 | item | - | pub | code | pub struct WebPageWindowSetter<'a>
205 | item | - | pub | code | pub struct WebPageLoadModeSetter<'a>
209 | item | - | pub | code | pub enum WebSelectOptionInput<'a>
216 | method | impl<'a> From<&'a WebElement> for WebSelectOptionInput<'a> | private | code | fn from(value: &'a WebElement) -> Self
222 | method | impl From<WebElement> for WebSelectOptionInput<'_> | private | code | fn from(value: WebElement) -> Self
228 | method | impl<'a> From<&'a [&'a WebElement]> for WebSelectOptionInput<'a> | private | code | fn from(value: &'a [&'a WebElement]) -> Self
234 | method | impl<'a> From<&'a Vec<&'a WebElement>> for WebSelectOptionInput<'a> | private | code | fn from(value: &'a Vec<&'a WebElement>) -> Self
240 | method | impl<'a> From<Vec<&'a WebElement>> for WebSelectOptionInput<'a> | private | code | fn from(value: Vec<&'a WebElement>) -> Self
246 | method | impl<'a, const N: usize> From<[&'a WebElement; N]> for WebSelectOptionInput<'a> | private | code | fn from(value: [&'a WebElement; N]) -> Self
252 | method | impl<'a, const N: usize> From<&'a [&'a WebElement; N]> for WebSelectOptionInput<'a> | private | code | fn from(value: &'a [&'a WebElement; N]) -> Self
258 | item | - | pub | code | pub struct DisconnectedWebPage
266 | method | impl DisconnectedWebPage | pub | code | pub fn target_id(&self) -> &str
270 | method | impl DisconnectedWebPage | pub | code | pub fn reconnect(&self, wait_ms: u64) -> OpenPageResult<WebPage>
286 | method | impl DisconnectedWebFrame | pub | code | pub fn reconnect(&self, wait_ms: u64) -> OpenPageResult<WebFrame>
297 | method | impl WebFrame | pub(crate) | code | pub(crate) fn frame(&self) -> &Frame
303 | method | impl WebFrame | private | code | fn wrap_frame(&self, frame: Frame) -> WebFrame
310 | method | impl WebFrame | private | code | fn wrap_element(&self, element: Element) -> WebElement
317 | method | impl WebFrame | private | code | fn wrap_page(&self, page: Page) -> BrowserTabReference
326 | method | impl WebFrame | pub | code | pub fn scroll(&self) -> FrameScroller<'_>
330 | method | impl WebFrame | pub | code | pub fn set(&self) -> FrameSetter<'_>
334 | method | impl WebFrame | pub | code | pub fn set_cookies<'a, C>(&self, cookies: C) -> OpenPageResult<()> where C: Into<CookieInput<'a>>,
341 | method | impl WebFrame | pub | code | pub fn remove_cookie( &self, name: &str, url: Option<&str>, domain: Option<&str>, path: Option<&str>, ) -> OpenPageResult<()>
351 | method | impl WebFrame | pub | code | pub fn clear_cookies(&self) -> OpenPageResult<()>
355 | method | impl WebFrame | pub | code | pub fn set_upload_files<'a, F>(&self, files: F) -> OpenPageResult<()> where F: Into<UploadFilesInput<'a>>,
362 | method | impl WebFrame | pub | code | pub fn set_upload_paths<'a, F>(&self, files: F) -> OpenPageResult<()> where F: Into<UploadFilesInput<'a>>,
369 | method | impl WebFrame | pub | code | pub fn set_download_path(&self, path: &str) -> OpenPageResult<()>
373 | method | impl WebFrame | pub | code | pub fn set_download_file_exists_mode( &self, mode: DownloadFileExistsMode, ) -> OpenPageResult<()>
380 | method | impl WebFrame | pub | code | pub fn set_when_download_file_exists(&self, mode: &str) -> OpenPageResult<()>
384 | method | impl WebFrame | pub | code | pub fn set_download_filename( &self, rename: Option<&str>, suffix: Option<&str>, suffix_specified: bool, ) -> OpenPageResult<()>
394 | method | impl WebFrame | pub | code | pub fn set_download_file_name( &self, rename: Option<&str>, suffix: Option<&str>, suffix_specified: bool, ) -> OpenPageResult<()>
404 | method | impl WebFrame | pub | code | pub fn states(&self) -> FrameStates<'_>
408 | method | impl WebFrame | pub | code | pub fn wait(&self) -> FrameWait<'_>
412 | method | impl WebFrame | pub | code | pub fn rect(&self) -> FrameRect<'_>
416 | method | impl WebFrame | pub | code | pub fn id(&self) -> &str
420 | method | impl WebFrame | pub | code | pub fn frame_id(&self) -> &str
424 | method | impl WebFrame | pub | code | pub fn frame_element(&self) -> &Element
428 | method | impl WebFrame | pub | code | pub fn frame_ele(&self) -> &Element
432 | method | impl WebFrame | pub | code | pub fn frame_element_reference(&self) -> OpenPageResult<WebElement>
439 | method | impl WebFrame | pub | code | pub fn frame_ele_reference(&self) -> OpenPageResult<WebElement>
443 | method | impl WebFrame | pub | code | pub fn owner(&self) -> &crate::page::Page
447 | method | impl WebFrame | pub | code | pub fn page(&self) -> &crate::page::Page
451 | method | impl WebFrame | pub | code | pub fn owner_reference(&self) -> BrowserTabReference
455 | method | impl WebFrame | pub | code | pub fn tab(&self) -> &crate::page::Page
459 | method | impl WebFrame | pub | code | pub fn tab_reference(&self) -> BrowserTabReference
463 | method | impl WebFrame | pub | code | pub fn tab_id(&self) -> String
467 | method | impl WebFrame | pub | code | pub fn set_none_element_value(&self, value: Option<&str>, on_off: bool) -> OpenPageResult<()>
471 | method | impl WebFrame | pub | code | pub fn set_raise_when_ele_not_found(&self, on_off: bool) -> OpenPageResult<()>
475 | method | impl WebFrame | pub | code | pub fn name(&self) -> OpenPageResult<Option<String>>
479 | method | impl WebFrame | pub | code | pub fn tag(&self) -> OpenPageResult<String>
483 | method | impl WebFrame | pub | code | pub fn link(&self) -> OpenPageResult<Option<String>>
487 | method | impl WebFrame | pub | code | pub fn attrs(&self) -> OpenPageResult<Vec<(String, String)>>
491 | method | impl WebFrame | pub | code | pub fn attr(&self, name: &str) -> OpenPageResult<Option<String>>
495 | method | impl WebFrame | pub | code | pub fn property(&self, name: &str) -> OpenPageResult<Option<Value>>
499 | method | impl WebFrame | pub | code | pub fn text(&self) -> OpenPageResult<Option<String>>
503 | method | impl WebFrame | pub | code | pub fn raw_text(&self) -> OpenPageResult<Option<String>>
507 | method | impl WebFrame | pub | code | pub fn value(&self) -> OpenPageResult<Option<String>>
511 | method | impl WebFrame | pub | code | pub fn comments(&self) -> OpenPageResult<Vec<String>>
515 | method | impl WebFrame | pub | code | pub fn texts(&self, text_node_only: bool) -> OpenPageResult<Vec<String>>
519 | method | impl WebFrame | pub | code | pub fn src( &self, timeout_ms: u64, base64_to_bytes: bool, ) -> OpenPageResult<Option<ElementResource>>
527 | method | impl WebFrame | pub | code | pub fn save( &self, path: Option<&Path>, name: Option<&str>, timeout_ms: u64, rename: bool, ) -> OpenPageResult<std::path::PathBuf>
537 | method | impl WebFrame | pub | code | pub fn style(&self, name: &str, pseudo: Option<&str>) -> OpenPageResult<String>
541 | method | impl WebFrame | pub | code | pub fn pseudo_before(&self) -> OpenPageResult<String>
545 | method | impl WebFrame | pub | code | pub fn pseudo_after(&self) -> OpenPageResult<String>
549 | method | impl WebFrame | pub | code | pub fn scroll_to_see(&self, center: Option<bool>) -> OpenPageResult<()>
553 | method | impl WebFrame | pub | code | pub fn scroll_to_center(&self) -> OpenPageResult<()>
557 | method | impl WebFrame | pub | code | pub fn css_path(&self) -> OpenPageResult<String>
561 | method | impl WebFrame | pub | code | pub fn xpath(&self) -> OpenPageResult<String>
565 | method | impl WebFrame | pub | code | pub fn child_count(&self) -> OpenPageResult<usize>
569 | method | impl WebFrame | pub | code | pub fn sr(&self) -> OpenPageResult<Option<ShadowRoot>>
573 | method | impl WebFrame | pub | code | pub fn shadow_root(&self) -> OpenPageResult<Option<ShadowRoot>>
577 | method | impl WebFrame | pub | code | pub fn url(&self) -> OpenPageResult<Option<String>>
581 | method | impl WebFrame | pub | code | pub fn parent_id(&self) -> OpenPageResult<Option<String>>
585 | method | impl WebFrame | pub | code | pub fn title(&self) -> OpenPageResult<Option<String>>
589 | method | impl WebFrame | pub | code | pub fn download_path(&self) -> OpenPageResult<Option<String>>
593 | method | impl WebFrame | pub | code | pub fn download(&self, url: &str) -> OpenPageResult<String>
597 | method | impl WebFrame | pub | code | pub fn download_to(&self, url: &str, path: impl AsRef<Path>) -> OpenPageResult<String>
601 | method | impl WebFrame | pub | code | pub fn wait_for_upload_paths_inputted(&self, timeout_ms: u64) -> OpenPageResult<bool>
605 | method | impl WebFrame | pub | code | pub fn wait_for_download_begin( &self, timeout_ms: u64, cancel_it: bool, ) -> OpenPageResult<Option<DownloadMission>>
613 | method | impl WebFrame | pub | code | pub fn wait_for_downloads_done( &self, timeout_ms: u64, cancel_if_timeout: bool, ) -> OpenPageResult<bool>
622 | method | impl WebFrame | pub | code | pub fn click_to_download<'a, L>( &self, locator: L, save_path: Option<&str>, rename: Option<&str>, suffix: Option<&str>, suffix_specified: bool, timeout_ms: Option<u64>, by_js: bool, new_tab: bool, ) -> OpenPageResult<Option<DownloadMission>> where L: Into<LocatorInput<'a>>,
648 | method | impl WebFrame | pub | code | pub fn click_to_upload<'a, 'b, L, F>( &self, locator: L, files: F, timeout_ms: Option<u64>, by_js: bool, ) -> OpenPageResult<bool> where L: Into<LocatorInput<'a>>, F: Into<UploadFilesInput<'b>>,
663 | method | impl WebFrame | pub | code | pub fn click_for_new_tab<'a, L>( &self, locator: L, timeout_ms: Option<u64>, by_js: bool, ) -> OpenPageResult<Option<BrowserTabReference>> where L: Into<LocatorInput<'a>>,
677 | method | impl WebFrame | pub | code | pub fn click_middle<'a, L>( &self, locator: L, timeout_ms: Option<u64>, get_tab: bool, ) -> OpenPageResult<Option<BrowserTabReference>> where L: Into<LocatorInput<'a>>,
691 | method | impl WebFrame | pub | code | pub fn html(&self) -> OpenPageResult<String>
695 | method | impl WebFrame | pub | code | pub fn inner_html(&self) -> OpenPageResult<String>
699 | method | impl WebFrame | pub | code | pub fn run_js(&self, expression: &str) -> OpenPageResult<Value>
703 | method | impl WebFrame | pub | code | pub fn run_js_with_args( &self, script: &str, args: &[Value], as_expr: bool, ) -> OpenPageResult<Value>
712 | method | impl WebFrame | pub | code | pub fn run_js_with_options( &self, script: &str, args: &[Value], as_expr: bool, timeout_ms: Option<u64>, ) -> OpenPageResult<Value>
723 | method | impl WebFrame | pub | code | pub fn run_js_loaded(&self, script: &str) -> OpenPageResult<Value>
